Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
140954,2014,09/11/2015,West Hartford,45 FAIRFIELD ROAD,194460.0,244400.0,0.795662848,Single Family,Single Family,,,,
180626,2018,06/07/2019,Meriden,82 MYRTLE ST,61250.0,93367.35,0.656,Two Family,Two Family,,,,
70171,2007,06/26/2008,Monroe,11 PENNY ROYAL LN,480410.0,775000.0,0.619883871,Single Family,Single Family,,,,
20011,2020,10/08/2020,Bethel,25 KAYVIEW AVENUE,158970.0,225000.0,0.7065,Residential,Single Family,26 - Rehabilitation Deferred,,,POINT (-73.40082 41.37634)
80015,2008,10/14/2008,Torrington,20 ASCOT LN,129400.0,233000.0,0.555364807,Single Family,Single Family,,,,POINT (-73.0653 41.86128)
170255,2017,11/14/2017,Bridgeport,146 GRENELLE ST,147430.0,275000.0,0.536109091,Single Family,Single Family,25 - Other,,DUPLICATE ENTRY - SEE #170256,
150657,2015,09/06/2016,Glastonbury,30 STONY BROOK DR B8,60300.0,88000.0,0.685227273,Condo,Condo,,,,
50643,2005,03/22/2006,Bristol,36 RUSS LN,71420.0,134000.0,0.532985075,,,,,,
12467,2012,09/25/2013,West Haven,360 W SPRING ST #D5,70350.0,59000.0,1.192372881,Condo,Condo,14 - Foreclosure,,,
21001,2021,10/04/2021,Norfolk,998 LITCHFIELD RD,37180.0,6000.0,6.1966,Residential,Single Family,14 - Foreclosure,SALE OF FORCLOSED PROPERTY,,POINT (-73.208416986 41.92382102)
41332,2004,08/01/2005,New Britain,141 MAPLE ST,88830.0,238000.0,0.373235294,,,,,,
190276,2019,02/19/2020,Shelton,14 EMILY LN,63940.0,242500.0,0.263670103,,,,BUILDING LOT,,
150161,2015,01/29/2016,Southbury,319 B HERITAGE VILLAGE,102460.0,172000.0,0.595697674,Condo,Condo,,,,
